histone,H3K4me0 ,H3K4me1 ,H3K4me2 ,H3K4me3 ,H3K4ac1 ,H3K9me0K14ac0 ,H3K9me1K14ac0 ,H3K9me2K14ac0 ,H3K9me3K14ac0 ,H3K9ac1K14ac0 ,H3K9me0K14ac1 ,H3K9me1K14ac1 ,H3K9me2K14ac1 ,H3K9me3K14ac1 ,H3K9ac1K14ac1 ,H3K9me2S10ph1K14ac0 ,H3K9me3S10ph1K14ac0 ,H3K18ac0K23ac0 ,H3K18ac1K23ac0 ,H3K18ac0K23ac1 ,H3K18ac1K23ac1 ,H3K18ub1K23ac0 ,H3K27me0K36me0 ,H3K27me1K36me0 ,H3K27me1K36me1 ,H3K27me1K36me2 ,H3K27me1K36me3 ,H3K27me2K36me0 ,H3K27me2K36me1 ,H3K27me2K36me2 ,H3K27me3K36me0 ,H3K27me3K36me1 ,H3K27me3K36me2 ,H3K27me3K36me3 ,H3K27ac1K36me1 ,H3K27ac1K36me2 ,H3K27ac1K36me3 ,H3.3K27me0K36me0 ,H3NORM(41-49),H3K56me0 ,H3K79me0 ,H3K79me1 ,H3K79me2 ,H3K27me0K36me1 ,H3K27me0K36me2 ,H3K27me0K36me3 ,H4(4to17)ac0me0,H4(4to17)K5ac1me0,H4(4to17)K12ac1me0,H4(4to17)K16ac1me0,H4(4to17)K8ac1K12ac1me0,H4(4to17)K5ac1K8ac1me0,H4(4to17)K5ac1K16ac1me0,H4(4to17)K12ac1K16ac1me0,H4(4to17)K8ac1K12ac1K16ac1me0,H4(4to17)K5ac1K8ac1K12ac1me0,H4(4to17)K5ac1K8ac1K16ac1me0,H4(4to17)K5ac1K8ac1K12ac1K16ac1me0,H4(20to23)K20me0,H4(20to23)K20me1,H4(20to23)K20me2,H4(20to23)K20me3,H4(68-78)AltNorm
BMP2_8,-0.904329777,-1.083009601,-1.644530177,-2.431948185,-5.40985775,-1.062300324,-0.913488746,-0.664436221,-2.308829308,-1.747937441,-1.072902799,-0.962228179,-1.909241199,-1.12488234,-1.882238626,-5.673148155,-3.683556557,-1.258975267,-2.154873133,-2.023343086,-2.564957857,-6.403470993,-0.388731241,-0.264968872,-0.519619107,-1.862833261,-0.763034821,-1.813843369,-0.357996225,-0.976850986,-1.494967341,-0.363060594,-0.156214714,-1.741882086,-6.028493404,-3.268229008,-4.890810966,-0.791625381,-0.173463583,-0.709122658,-2.244063616,-3.318109035,-2.255520344,-0.253329277,-0.717119336,-2.867990017,0.195350111,-1.92719698,-0.445180714,-0.702792943,-0.3736462,-2.877131462,-1.066489935,-2.668867111,-1.331077099,-0.737535655,-1.664343119,-1.237385273,-2.803654432,-0.759079635,-0.711167157,-1.288683414,0.246456742
ctrl_0,-0.868025541,-1.325852513,-1.618190646,-2.231898308,-5.443902493,-1.041011095,-1.141597033,-0.627567768,-2.044744492,-1.626624107,-1.086641431,-1.151626229,-2.341358662,-1.268586636,-2.104018688,-5.575365543,-3.847975731,-1.312393904,-2.113105297,-2.323530436,-2.892498016,-6.433848858,-0.131244659,-0.250927925,-0.478301764,-2.359193802,-1.082441211,-1.556464076,-0.538388491,-0.687012196,-1.587472081,-0.61418581,-0.456944942,-2.493468523,-4.801698208,-2.763568163,-4.332310677,-0.40678072,-0.27331543,-1.053858042,-2.491808414,-3.583425283,-2.350248814,0.429649115,-0.59502697,-3.167062283,-0.374686927,-2.533205509,-0.969886124,-1.253653884,-0.675787687,-3.163112879,-1.565353751,-3.143304348,-1.543553829,-1.161783814,-2.234666109,-1.314746618,-1.251885176,-0.664685488,-1.044774532,-1.373917341,0.14572525
ctrl_0,-0.677267432,-1.423240304,-1.169330955,-2.149206162,-5.108054161,-1.319718242,-1.356837511,-1.262606263,-2.132500887,-1.232994795,-0.869810462,-1.231281519,-2.030841827,-0.642365932,-1.660101414,-5.591210365,-3.74170208,-1.308020234,-1.829115868,-2.161047459,-2.225273371,-6.208865166,-0.127095222,-0.13015604,-0.184116602,-2.259110689,-1.190921903,-1.303657889,-0.166819811,-0.985742688,-1.597177386,-0.734990597,-1.005161524,-2.00398159,-5.256635189,-2.867576599,-4.380041599,-0.711916327,-0.494371176,-0.678886056,-2.131675959,-3.434451818,-2.421789646,-0.057697296,-0.40708375,-2.554397583,0.029731452,-2.410297632,-0.648492694,-1.027450919,-0.653779507,-3.276302338,-1.12517786,-2.480824709,-0.978664398,-1.100534916,-1.69217658,-0.737224579,-2.219718933,-0.763361096,-1.039643526,-1.852198362,0.085709929
ctrl_0,-0.675999641,-1.297229648,-1.226500273,-2.198224306,-5.029424667,-0.883598685,-1.352689028,-0.82779789,-2.106510878,-1.622911334,-0.955728889,-1.119619489,-1.693694353,-1.020824552,-1.694161177,-5.743901253,-3.969749928,-1.403424144,-2.023126841,-2.144011259,-2.384356976,-6.711136341,-0.337919474,-0.24084878,-0.481684208,-1.98297143,-1.280057907,-1.910120249,-0.308341265,-1.048441291,-1.499524832,-0.793701649,-0.92280376,-2.109265327,-5.092728615,-2.840402365,-4.407464981,-1.04891026,-0.266009808,-0.868541241,-2.34497118,-3.365219831,-2.539652348,0.085787296,-0.534089804,-2.76841116,-0.266164243,-2.242307425,-0.632377446,-0.956130624,-0.191324994,-2.887357235,-1.241115093,-2.580431223,-0.967589736,-0.792888165,-1.825878859,-0.809289217,-2.239129782,-0.642837524,-0.801358223,-1.878677368,-0.106540278
ctrl_0,-0.731165886,-1.022778034,-1.228980899,-2.133280277,-5.20775938,-1.09801054,-1.023817062,-0.775103807,-2.009068012,-1.807179928,-1.013243437,-0.9157691,-1.73931694,-0.827279568,-1.776992679,-6.068539619,-4.681994438,-1.262991309,-1.787356496,-2.2164855,-2.570400476,-6.573599815,-0.557989359,-0.168586969,-0.296698809,-2.172038317,-1.041429281,-1.377995014,-0.328912973,-0.660827637,-1.648123264,-0.524244666,-0.604641676,-1.618825197,-5.826420784,-3.120004177,-4.421725273,-1.030066729,-0.391201258,-0.798029184,-2.307712317,-3.267388582,-2.068426609,-0.036702394,-0.745483279,-2.950286865,-0.129177332,-2.140315533,-0.316022217,-0.765690863,-0.467485607,-2.91956234,-1.242475033,-2.722986221,-1.18397522,-1.036352396,-2.068725348,-1.29895997,-2.917595625,-0.940877378,-0.697451293,-1.192867994,-0.033687234
ctrl_0,-0.666541219,-1.109230757,-1.495773435,-2.138099194,-5.002980709,-0.976723552,-1.271808028,-0.702319145,-2.092998505,-1.683419704,-0.714549541,-1.095856547,-1.855320215,-0.893935919,-1.611706495,-5.850977898,-4.812856197,-1.384824872,-1.937584639,-2.033298492,-2.801194668,-6.638757229,-0.493387222,-0.288393259,-0.467131734,-2.163207054,-1.053737879,-1.4462502,-0.018585682,-0.494656801,-1.55924201,-0.572546005,-0.374978542,-1.703920126,-5.636037827,-2.963239193,-4.409575462,-1.057371736,0.216146708,-1.129945755,-2.443350077,-3.440084934,-2.324881554,-0.021743536,-0.549294114,-2.704721212,-0.061504424,-2.072015047,-0.451330543,-0.936430693,-0.291313052,-2.77358532,-1.180476666,-2.575436592,-1.04021883,-0.77685678,-1.818387985,-1.011514783,-2.175071239,-0.629856944,-0.704597235,-1.351620674,0.007863402
EGF_24,-1.102653503,-1.950291872,-1.984566808,-2.640827417,-5.897201061,-0.425913334,-1.355809927,-1.146872997,-2.450193405,-2.20386982,-0.610074162,-1.470528126,-2.418216228,-1.458670735,-2.00117898,-3.7432971,-1.459075689,-1.576297641,-2.493225574,-2.253345013,-2.934440136,-4.887722015,0.35034132,0.278625488,-0.037833214,-2.295268536,-1.216194391,-1.487775803,-0.395142078,-0.783216,-1.799617767,-0.677855849,-0.391369343,-1.597092271,-4.106666088,-2.505580664,-4.936506271,-0.600512862,-0.150628805,-0.399151087,-1.921640873,-3.182872057,-2.292138577,1.426189423,-0.301669359,-2.802526474,0.198631763,-1.298238754,-0.264865994,-1.056681871,-0.427967846,-2.796901464,-1.397656918,-3.219196558,-1.591899157,-0.669658601,-1.870902061,-1.23329711,0.550093591,0.126237571,-0.857897341,-1.54881072,0.108954668
EGF_24,-0.829001546,-1.205296159,-1.160735846,-2.230194569,-5.261221886,-0.781627715,-0.970419586,-0.735842645,-2.193006277,-1.810803652,-0.591519535,-1.358772993,-2.076169968,-1.10115087,-1.81899929,-3.403961658,-1.93682456,-0.806896567,-1.890700698,-1.682927251,-2.240228891,-5.454138279,0.527893066,0.006428719,0.041813135,-2.544642687,-1.093938947,-1.507813215,-0.228451729,-0.963347733,-1.359154344,-0.266219735,-0.609479725,-1.715435505,-4.190741539,-3.121818542,-5.121818542,-0.40783596,0.123563528,-0.232754946,-1.915914297,-2.970031261,-2.182394028,1.123745441,-0.518990994,-2.915540218,0.376720548,-1.354283333,-0.279201508,-1.146841288,-1.037502527,-2.836199284,-1.274076462,-2.99156332,-2.187215805,-1.110989094,-2.228752613,-1.549441814,-0.245582581,-0.512761116,-0.896942854,-0.92779851,0.176491261
EGF_24,-0.909063458,-1.394738436,-1.718575001,-2.431410551,-5.617871284,-0.722084165,-1.275263309,-0.46715939,-2.265960455,-2.047560215,-0.644317508,-1.242658138,-2.12137723,-1.250500441,-2.057767868,-3.447545767,-1.460827708,-1.315369606,-2.230026484,-2.218358517,-2.624423504,-5.385210991,0.248140097,-0.029456615,-0.416629672,-2.226756811,-1.239880085,-1.473417044,-0.516631126,-0.915629506,-1.725601792,-0.254043341,-0.62680316,-1.694722176,-4.18825531,-3.644719362,-5.046194553,-0.468530774,0.041482449,-0.709779143,-2.099808455,-3.173601866,-2.116750717,1.476813316,-0.544800997,-3.116113663,-0.129173517,-1.790223002,-0.625696301,-1.265782714,-1.055076957,-2.916856289,-1.158215404,-2.92570734,-2.126619816,-1.298459649,-2.597578049,-1.639736056,-0.116767883,-0.350767493,-0.91740799,-0.968507051,-0.053863645
EGF_4,-0.505713463,-1.129144669,-1.636839747,-2.207957029,-5.652503014,-0.906977892,-1.172548532,-1.02443707,-2.284327984,-2.153557301,-1.259571552,-1.375932336,-2.185632229,-1.211675763,-2.280247688,-5.650160789,-3.537656784,-1.324784994,-2.071843863,-2.49605298,-2.881428957,-6.95233345,0.074200869,0.078201294,-0.05190134,-2.24989748,-1.129042745,-1.784172893,-0.513175726,-0.981571913,-1.433861375,-0.623676538,-0.61533618,-1.420390725,-5.329402924,-3.184043407,-4.6437397,-0.69227016,-0.218735218,-0.511945963,-1.708969116,-3.043712616,-2.001492023,0.266505718,-0.738869548,-2.926418781,0.010860562,-2.264195442,-0.864976227,-1.176136494,-0.709678411,-3.234103441,-1.438614607,-2.921470165,-1.42061615,-1.121556282,-2.025007725,-1.817412376,-1.50893259,-0.708528578,-0.865937293,-1.954482079,-0.181510299
